,city,country,city id,lat,max temp,humidity,wind speed,cloud coverage,date
118,Avarua,CK,4035715,-21.21,69.8,88,28.86,90,1532098800
119,Digha,IN,1272625,21.68,83.64,100,9.08,44,1532102155
120,Paciran,ID,1633442,-6.88,83.82,99,15.01,0,1532102155
121,Yangambi,CD,203717,0.81,83.73,70,2.15,24,1532102156
122,Kirakira,SB,2178753,-10.45,74.55,100,10.09,92,1532102156
123,Cajamarca,CO,3688021,4.44,78.8,65,4.7,75,1532098800
124,Werda,BW,932960,-25.27,65.01,28,10.76,0,1532102156
125,New Norfolk,AU,2155415,-42.78,44.6,56,11.41,40,1532098800
126,Yellowknife,CA,6185377,62.46,62.6,67,6.93,20,1532098800
127,Butaritari,KI,7521588,3.16,84.72,100,9.75,80,1532102157
129,Ponta do Sol,CV,3374346,17.2,75.63,100,5.61,36,1532102157
130,Nuuk,GL,3421319,64.18,44.6,81,14.99,75,1532098200
131,Yulara,AU,6355222,-25.24,48.2,49,5.82,0,1532098800
132,Beyneu,KZ,610298,45.32,106.86,17,10.09,36,1532102158
133,Port Augusta,AU,7839451,-32.62,46.4,87,9.17,64,1532098800
135,Marsh Harbour,BS,3571913,26.54,84.36,98,15.79,8,1532102056
136,Anamur,TR,323828,36.08,82.56,79,8.75,0,1532102159
137,Khash,IR,1160571,28.22,90.75,12,12.55,0,1532102159
138,Chokurdakh,RU,2126123,70.63,60.24,56,15.68,24,1532102160
139,Moron,MN,2029947,47.38,59.79,99,2.93,68,1532101933
140,Luderitz,NA,3355672,-26.65,65.46,57,6.06,0,1532102160
141,Pustoshka,RU,503878,56.34,74.37,74,8.19,92,1532102161
142,Isangel,VU,2136825,-19.55,72.84,100,10.76,100,1532101920
143,Saldanha,ZA,3361934,-33.01,64.4,68,8.05,32,1532098800
144,Belmonte,BR,3470137,-15.86,80.6,65,6.93,20,1532102400
145,Ancud,CL,3899695,-41.87,43.68,85,5.95,68,1532102161
146,Williams Lake,CA,6182212,52.14,46.4,75,6.93,75,1532098800
147,Dikson,RU,1507390,73.51,42.96,98,13.67,56,1532102162
148,Atuona,PF,4020109,-9.8,79.32,100,19.71,76,1532102162
149,Juye,CN,1804892,35.39,87.69,65,9.98,8,1532102163
150,Sur,OM,286245,22.57,90.12,79,1.59,8,1532102163
151,Mudu,CN,1898359,31.25,81.39,79,10.98,0,1532102163
152,Poum,NC,2138555,-20.23,72.84,100,8.08,24,1532102164
153,Bellavista,PE,3699364,-7.06,78.8,83,0.58,0,1532098800
156,Roseburg,US,5749352,43.22,57.2,67,8.05,1,1532099760
157,Le Vauclin,MQ,3570392,14.55,86.0,66,20.8,40,1532100600
158,Minbu,MM,1309289,20.18,75.54,100,9.64,100,1532102165
159,Adrar,DZ,2508813,27.87,118.4,8,11.41,0,1532098800
160,Bima,ID,1648759,-8.47,75.72,96,2.71,64,1532102165
161,Salalah,OM,286621,17.02,78.8,88,9.17,90,1532098200
162,Tateyama,JP,1850523,34.98,82.4,83,16.11,20,1532098800
163,Dunedin,NZ,2191562,-45.87,43.86,69,8.97,56,1532102166
164,Ahuimanu,US,5856516,21.44,78.8,74,5.82,90,1532098620
165,Kyren,RU,2021031,51.68,52.32,98,2.04,88,1532102167
166,Port Elizabeth,ZA,964420,-33.92,73.4,31,4.7,0,1532098800
167,Tahe,CN,2034615,52.33,62.22,95,2.93,0,1532102168
168,Cabo San Lucas,MX,3985710,22.89,86.0,48,11.41,75,1532098260
169,Lakhdenpokhya,RU,537147,61.52,71.76,77,10.42,80,1532102169
170,Arraial do Cabo,BR,3471451,-22.97,80.6,61,17.22,0,1532098800
171,Nhulunbuy,AU,2064735,-12.23,73.4,88,9.17,40,1532098800
172,Sambava,MG,1056899,-14.27,72.21,100,14.0,80,1532101965
173,Kapchorwa,UG,232235,1.4,70.05,82,2.71,24,1532102170
174,Georgiyevka,KZ,1524243,43.04,76.17,33,4.38,0,1532102170
175,Deputatskiy,RU,2028164,69.3,56.1,71,3.94,56,1532102171
176,Byron Bay,AU,2172880,-28.65,57.2,41,5.82,0,1532098800
177,Yurga,RU,1485724,55.72,64.02,85,4.5,32,1532102171
178,Margate,ZA,978895,-30.86,70.14,69,17.81,0,1532102172
179,Svetlaya,RU,2015852,46.54,67.44,80,2.37,92,1532102172
180,Tecoanapa,MX,3516171,16.52,79.59,88,3.6,12,1532102172
181,Ambon,ID,1651531,-3.7,75.2,100,6.93,75,1532098800
182,Pervomayskoye,RU,510814,60.36,75.2,69,13.42,75,1532098800
189,Necochea,AR,3430443,-38.55,49.44,100,16.13,80,1532102173
190,Mildura,AU,2157698,-34.2,40.98,90,7.18,0,1532102173
191,Vestmanna,FO,2610343,62.16,55.4,93,10.29,80,1532100000
192,Provideniya,RU,4031574,64.38,43.77,100,8.08,92,1532102174
193,Skegness,GB,2637762,53.14,80.6,47,8.05,20,1532100000
194,Ramnagar,IN,1258639,27.17,87.69,77,4.72,12,1532102174
200,Ambilobe,MG,1082243,-13.2,78.96,45,13.56,68,1532102175
201,Antalaha,MG,1071296,-14.9,70.14,100,10.65,80,1532102175
202,Beidao,CN,1816751,34.57,63.84,100,4.05,92,1532102175
203,Wahiawa,US,5853992,21.5,78.8,78,3.36,75,1532098620
204,Borujerd,IR,140044,33.9,87.24,21,1.59,68,1532101920
